"nrow","nlevels","successes","trials","mean","lower","upper"
1200,50,207,1000,0.207,0.182280902857346,0.23345695036926
1440,60,251,1000,0.251,0.224391830789683,0.279082613886039
1680,70,290,1000,0.29,0.262028715044947,0.319213490118474
1920,80,308,1000,0.308,0.279486629900583,0.337648661997495
2160,90,362,1000,0.362,0.332157481536102,0.392657796968455
2400,100,380,1000,0.38,0.349807021993207,0.410901765938299
2640,110,418,1000,0.418,0.387209796968171,0.449274378573061
2880,120,446,1000,0.446,0.414889378659334,0.477429417287709
3120,130,495,1000,0.495,0.463565475920094,0.526464038685003
3360,140,510,1000,0.51,0.478525841321888,0.541415129285882
3600,150,546,1000,0.546,0.514544491866621,0.577183950279601
3840,160,578,1000,0.578,0.546697353281569,0.60884210208523
4080,170,601,1000,0.601,0.569888175868651,0.631515371884961
4320,180,608,1000,0.608,0.576959977529648,0.638402190974519
4560,190,629,1000,0.629,0.598214670309738,0.659023305500047
4800,200,648,1000,0.648,0.61749713106547,0.67762839564546
5040,210,657,1000,0.657,0.626648677204431,0.686423551135963
5280,220,686,1000,0.686,0.656217699403695,0.71468261533505
5520,230,701,1000,0.701,0.671562410986418,0.729248858846613
5760,240,721,1000,0.721,0.692078612648021,0.74861376902678
6000,250,743,1000,0.743,0.714725685977076,0.769835661053624
6240,260,760,1000,0.76,0.732286641652898,0.786173225525494
6480,270,777,1000,0.777,0.749904841084965,0.802453306276883
6720,280,783,1000,0.783,0.756137524746682,0.80818465514539
6960,290,789,1000,0.789,0.762378127764404,0.813908045989226
7200,300,813,1000,0.813,0.78742492046857,0.836716780075399
